claim_id,policy_id,claim_incurred_date,claim_paid_date,gross_claim_amount,recoverable_amount,net_claim_amount,claim_status
ebb4831c-be53-4098-ae52-4c6f32c60147,POL24535155,2024-10-09,2024-12-11,9110.94,3882.49,5228.450000000001,Paid
856b57a9-d830-47be-b4a4-5a69755585e7,POL85576438,2020-10-19,2021-01-15,4496.73,3109.79,1386.9399999999996,Outstanding
2b0a9a9b-3bd7-405b-85ed-23da72daef6d,POL13041464,2020-08-19,2021-02-12,9743.72,4238.64,5505.079999999999,Closed
8ba28a78-2366-4124-afa4-cbdb9d40b867,POL49150790,2022-07-22,2022-11-01,4547.2,2513.3,2033.8999999999996,Closed
af5e019e-a5e4-43f0-9a90-36f00b952ad0,POL79524152,2019-07-26,2019-11-09,8872.24,1883.73,6988.51,Closed
1f07042f-2f12-4398-9907-02c729eb5131,POL97021756,2018-02-15,2018-03-24,1657.26,600.2,1057.06,Outstanding
89ae1c27-4fb8-4446-b5f8-85f91bb94da6,POL93835064,2019-02-03,2019-05-22,8137.12,4785.3,3351.8199999999997,Paid
370c86e4-97fe-4887-9d3a-a695dd5c520f,POL86668751,2023-12-30,2024-04-09,7035.78,3943.53,3092.2499999999995,Outstanding
4d8ac94d-799b-49ca-9b87-3359079772ce,POL23114295,2021-05-15,2021-10-21,6241.17,2315.74,3925.4300000000003,Paid
711abca0-dd00-4e9d-bbed-ed1d9d7c430e,POL92293648,2025-09-29,2025-10-08,9450.11,2131.52,7318.59,Paid
9014e2cb-bd6d-420f-992b-b4e158e8e550,POL23163598,2023-12-24,2024-03-11,3477.14,1636.95,1840.1899999999998,Outstanding
206e9815-f142-42b2-8ef1-24dc1bf753d4,POL96536246,2021-03-06,2021-05-12,2509.12,961.94,1547.1799999999998,Closed
825d97b2-213a-45bd-a8d7-bad48199a776,POL35901888,2024-04-22,2024-06-18,244.98,81.58,163.39999999999998,Paid
f4cd8183-a707-470a-80c9-70d152090afa,POL84480523,2019-12-23,2020-03-11,8928.6,3895.16,5033.4400000000005,Paid
91057d06-633e-482e-9986-b3a05f1a5953,POL59216416,2018-01-31,2018-07-27,8829.23,5506.61,3322.62,Paid
91d6465a-62df-44d8-857b-1b8df8479079,POL59115462,2023-08-30,2023-10-04,6376.01,4400.5,1975.5100000000002,Paid
5e69334c-1856-45a3-b9fa-f9794909bf45,POL87708042,2020-11-28,2020-12-31,409.83,234.67,175.16,Paid
d2d3d046-e80e-486b-a3d0-8a8ed7f524fb,POL71796631,2021-02-01,2021-07-29,1882.69,868.03,1014.6600000000001,Closed
6d986b47-ec89-432c-9ca6-5b604038c9d7,POL50725227,2018-07-28,2019-01-11,7360.56,2128.25,5232.31,Paid
a5cf5a01-a874-46d3-a66e-31eca8b59d43,POL53331994,2020-08-28,2020-10-23,5141.92,3302.67,1839.25,Closed
3a35605b-9341-4919-8dbc-fd5edc659432,POL07347605,2019-11-16,2020-03-24,8695.1,1755.69,6939.41,Closed
f77ad1cd-1eca-4a5b-af0a-ceb7ecaa39d0,POL42135448,2021-01-29,2021-03-27,621.11,464.76,156.35000000000002,Paid
313662ca-ea65-471f-93d5-211116668d84,POL78139784,2023-02-11,2023-02-26,1111.32,498.11,613.2099999999999,Closed
20b7115e-db0b-4b87-be63-8bc9e0842a2a,POL05834101,2022-05-10,2022-10-11,5802.62,3194.38,2608.24,Outstanding
80555044-7bf5-4560-8d75-4b3d0b589a10,POL53670987,2021-04-28,2021-08-19,1214.9,672.32,542.58,Paid
1ae30b2d-6280-4587-ac83-84bbe3185f8e,POL07730139,2019-12-16,2020-02-15,7682.69,5564.98,2117.71,Outstanding
41172202-c563-4b2e-894b-235981de3520,POL71796631,2024-10-20,2024-11-06,7282.57,3579.36,3703.2099999999996,Closed
2ae8ad99-b3bf-466f-8ba4-37221815db48,POL77507357,2022-07-06,2022-08-18,4847.13,1280.44,3566.69,Paid
